build_year,country,make,model,avg_amount_damage
2008,LPFR,opel,corsa3pcosmo,909.56
2004,LPDE,mercedes,vito115cdilakombi,3222.54
2008,LPSE,citroen,jumpyl1h15m31100kghdi1202007,25486.5
2009,LPFR,citroen,jumper30l2h2,1819.91
2008,LPIT,renault,kangooricoh,1402.52
2009,LPSE,volvo,v50d5momentummanuell2010,3505.5
2005,LPCZ,renault,megane,8896.285714285714
2009,LPDE,opel,corsa1012vedition,2071.997272727273
2011,LPSE,citroen,jumpyhdi120l1h12010,0.0
2012,LPSE,volvo,xc60d5215awdssrdesign2013,1215.5
2017,LPIT,fiat,doblovc,2704.5499999999997
2009,LPFR,bmw,530xd4portes,372.06
2007,LPDE,ford,fiesta16autfunx,1732.95
2012,LPFR,jeep,compass,1176.2420000000002
2009,LPIT,peugeot,3008,1648.1399999999999
2010,LPSE,opel,astra13cdtiecoflexdpfsport2011,0.0
2010,LPFR,volvo,v50kinetic,764.48
2011,LPSE,skoda,superb20tdi140hkambitioncombi2011,6917.75
2008,LPDE,fiat,ducatol2h2dpfhochrkasten,4576.5
2009,LPBE,fiat,ducato,3863.684444444444
2008,LPSE,renault,kangooexpress15dci70bravo2007,5580.0
2007,LPFR,renault,espaceemotion,629.365
2011,LPFR,landrover,defenderhard,942.63
2007,LPIT,peugeotel,peugeot10071,1124.94
2009,LPSE,citroen,grandc4picassvti120dynamique2009,10984.0
2007,LPFR,mercedes,aii180cdicvt,0.0
2009,LPNL,iveco,eurocargo,191.0
2007,LPNL,mercedes,ecombi,822.075
2005,LPNL,chevrolet,evanda,157.0
2007,LPAT,mercedes,c320cdi,1329.43
2002,LPNL,opel,vivarogbdc,126.0
1999,LPNL,fiat,brava,326.08
2008,LPAT,fiat,grpunto13jtd,952.25
2004,LPIE,mercedes,eclass,298.6125
2009,LPAT,peugeot,407premium,1553.63
2007,LPLU,volvo,v70,426.53
2008,LPES,ssangyong,rextonii,1151.7066666666667
2008,LPES,opel,antara,323.8883333333334
2010,LPNL,kia,ceed,921.4233333333333
2010,LPAT,mercedes,vito111cdi,5842.14
2009,LPES,volvo,xc70,788.5240000000001
2011,LPPT,bmw,6serie,1390.8
2011,LPAT,volvo,v50,823.67625
2008,LPAT,renault,trafickasl1h1,1083.68
2013,LPNL,renault,zoe,566.49
2009,LPAT,volkswagen,polo14,859.75
2007,LPIE,mercedes,viano,446.17
2006,LPES,mercedes,sprinterfurgon,1409.82
2012,LPCH,audi,s4,1560.0933333333335
2013,LPPT,opel,vivarovc,818.0614285714286
2004,LPSK,volkswagen,golf,255.72239
2006,LPDE,bmw,325icoupeaut,3990.7700000000004
2011,LPAT,fiat,ducatobvanma,3765.59
2016,LPSK,bmw,5serie,489.1
2014,LPPL,volkswagen,touareg,1887.08
2002,LPFR,citroen,saxosx,0.0
2015,LPSK,hyundai,santafe,229.4
2006,LPPL,volkswagen,jetta20tdi,1757.1
2010,LPAE,gmc,acadiaslt2,3793.5
2010,LPRO,seat,exeo,0.0
2011,LPCH,volvo,xc60d3moment,1928.86
2008,LPSE,toyota,priushsdbusiness2009,12909.0
2006,LPCH,nissan,cabstar,2903.65
2012,LPFR,lexus,rx450h,694.056
2011,LPPL,bmw,x5,1791.9850000000001
2014,LPES,suzuki,sx4,1629.38
2010,LPRO,renault,megane,500.47414
2009,LPGR,citroen,nemocombi,413.3076923076923
2014,LPUK,fiat,fiorinocmb11,117.1
2011,LPIT,ford,transit,1426.109
2013,LPPL,citroen,ds5,1435.0133333333333
2009,LPGR,subaru,impreza,432.5
2011,LPRO,audi,a3,1028.25715
2010,LPCH,citroen,c6exclusive,1392.76
2009,LPCH,saab,95griffin,1720.05
2004,LPFR,alfaromeo,gtselective,590.845
2013,LPIT,dacia,dokker,1254.77
2014,LPSK,ford,smax,305.54
2016,LPBE,audi,sq5,0.0
2009,LPDE,alfaromeo,alfa159sportwelegante,3233.273333333333
2009,LPCH,opel,insigcosmo,3224.6099999999997
2008,LPCH,mitsubishi,lancer,6191.595
2005,LPCH,peugeot,boxer350mh4x4,4220.733333333334
2007,LPCH,bmw,x54x4,2826.8000000000006
2007,LPSE,chevrolet,captiva20dieselltawdat7sits2007,3990.0
2012,LPIT,skoda,superbn1pkl,918.74
2008,LPSK,ford,transitconnect,37.33
2008,LPCH,skoda,fabiaclass,2362.35
2008,LPDE,renault,espace20dciinitiale,2714.12
2006,LPBE,fiat,seicento,0.0
2014,LPBE,audi,q7,1169.925
2005,LPFR,mercedes,aii200cdi3p,811.765
2007,LPBE,bmw,z4coup,72.0
2011,LPCH,toyota,avensis,3203.93
2009,LPDE,bmw,x6xdrive50i,2038.26
2010,LPIT,seat,alhambra,479.4
2006,LPCH,mitsubishi,grandisexecut,1924.9
2017,LPGR,ford,focuscmax,214.0
2009,LPCH,skoda,fabia,1354.0
2013,LPBE,volkswagen,caravellelwb,1131.44
2008,LPIT,fiat,enimultipla,763.88
2009,LPCH,seat,alhambraadvan,2200.1
2010,LPSK,dacia,duster,736.13
2007,LPCH,opel,merivacosmo,2729.0
2002,LPCH,toyota,hiacelwb,7543.6
2007,LPBE,fiat,ducato15,5245.1625
2011,LPDE,bmw,320ddpfbluepeditionexclusi,1942.27
2013,LPUK,mazda,2,172.20499999999998
2003,LPFR,fiat,multiplasx,101.0
2014,LPHU,bmw,x5,52100.0625
2010,LPDE,skoda,yeti,1763.67
2007,LPFR,ford,focusiii4p,481.71750000000003
2014,LPUK,ford,ecosport5dr14,377.05
2013,LPHU,renault,kangoo,140039.625
2004,LPIT,mercedesel,sl500,238.26
2005,LPFR,landrover,freelanderiii,208.11333333333332
2010,LPUK,peugeot,308cc09,247.28
2008,LPSE,volvo,s6024170momentum2008,0.0
2005,LPFR,mercedes,b200cdi+,488.59
2007,LPFR,saab,93swlinear,449.32
2007,LPFR,toyota,corollaiiili,235.405
2016,LPFR,volkswagen,sharan,188.055
2007,LPSE,saab,9320t210hkvectorsportcombi2007,9494.5
2009,LPIT,skoda,octavialandi,2209.84
2003,LPFR,ford,transit300ms,1012.75
2015,LPIT,kia,soul,1590.4
2010,LPUK,audi,ctrymancps10,0.0
2010,LPFR,dodge,journey7plse,305.5
2011,LPUK,chevrolet,lacettiest10,625.98
2007,LPSE,volkswagen,polo14tdi80hkdpfcomfortline5d2,1940.0
2009,LPIT,lancia,deltalandi,955.4233333333333
2014,LPFR,volkswagen,eos,648.5166666666667
2010,LPDE,volvo,v50dpfd3momentum,1606.7
2013,LPDK,ford,transitconnect,3900.0
2013,LPFR,audi,countryman98,1118.55
2009,LPFR,audi,s8,2144.27
2014,LPHU,bmw,7serie,22500.0
2007,LPSE,volvo,v7024d1632008,4751.0
2009,LPUK,honda,accordesn09,721.2325000000001
2011,LPFR,mazda,3sport,1309.1
2011,LPDE,volkswagen,touran16tdicross,1456.165
2003,LPFR,bmw,318iafacelift,414.0
2008,LPDE,mercedes,e200tkompresclassic,909.34
2005,LPFR,audi,a6iiiavan25,219.51
2014,LPFR,mitsubishi,outlander,1954.345
2010,LPUK,volkswagen,touareg10,429.26
2006,LPSE,ford,mondeo22tdcititaniumx2006,4105.5
2009,LPUK,mercedes,slk3002dr10,469.33
2007,LPSE,volvo,c3018flexifuelmomentum2007,6273.0
2008,LPSE,audi,a418tfsi160hkquattro2009,11968.0
2009,LPFR,toyota,avensisbkline,420.425
2003,LPFR,audi,a4ii18t,433.0
2011,LPUK,bmw,120dcon115,45.0
2007,LPDE,opel,astragtc19ccosmo,1648.16
2008,LPFR,fiat,pandaiiteam,231.28
2010,LPUK,mitsubishi,shogunlwb08,4039.305
2005,LPFR,audi,a620tdi140,652.05
2008,LPSE,cadillac,bls20tflexpower200hkmanelegance,3545.0
2013,LPFR,fiat,freemontlounge,513.4
2007,LPFR,kia,sportage20,0.0
2008,LPSE,ford,cmax20tdcititaniumauto2008,4518.0
2010,LPUK,suzuki,gvitara3d10,328.25
2007,LPSK,toyota,corolla,84.35111111111111
1999,LPNL,mercedes,cclass,0.0
1998,LPNL,fiat,brava,281.0
2007,LPLU,mercedes,csportcoup,11.393333333333333
2006,LPFR,mercedes,coupesport200cdi,93.94800000000001
2016,LPLU,mercedes,vclass,363.9975
2014,LPLU,mercedes,vito,513.6666666666666
2002,LPPT,renault,clio,10.603830985915492
2005,LPNL,ladog,veegmachine,0.0
2009,LPNL,toyota,prius,1198.4726918798665
2004,LPNL,kooiaap,heftruck,0.0
2006,LPNL,ford,focus,589.317301762115
2007,LPNL,audi,a4cabriolet,144.8675
2003,LPAT,toyota,avensisverso,0.0
2001,LPPT,volkswagen,caddy,0.0
2001,LPES,opel,vectrasport,243.27666666666664
2000,LPNL,yale,heftruck,0.0
2001,LPPT,rover,45,0.0
2009,LPNL,audi,a6allroad,793.8875
2002,LPES,fiat,ducato10combi,0.0
2001,LPES,citroen,evasionsx,0.0
2003,LPAT,renault,lagunagrandto,0.0
2005,LPNL,seat,alhambra,358.33133333333325
2009,LPNL,saab,93cabriolet,0.0
2006,LPAT,ford,transitvc,615.9729787234041
2010,LPNL,peugeot,partner,1451.492608695652
2004,LPES,citroen,berlingoiifur,543.5349624060149
2003,LPNL,honda,accord,88.995
2004,LPES,chrysler,gvoyagerlx,334.02
2005,LPES,chrysler,ptcruiser,125.508
2006,LPNL,hyundai,tucson,508.51250000000005
2004,LPES,renault,grandscenic,286.658
2011,LPNL,bucher,veegmachine,0.0
2004,LPAT,seat,toledo19tdi,0.0
2002,LPNL,hondamotorfiets,xl,80.33285714285715
2012,LPNL,volvo,xc60,823.2263636363638
2004,LPFI,ford,transitconnect,47.914242424242424
2008,LPAT,opel,corsa,780.05125
2005,LPAT,audi,a4cabrio25,0.0
2004,LPAT,citroen,xsarabreak,0.0
2002,LPFI,renault,clio,0.0
2003,LPES,opel,vectrasw,0.0
2014,LPNL,toyota,yaris,721.5352173913044
2007,LPFI,volvo,v70,26.577739726027392
2005,LPAT,skoda,fabiacombi14,0.0
2013,LPBR,ford,fusion,0.0
2010,LPFI,volvo,v70,150.77718518518523
2008,LPFI,audi,a5,122.59400000000001
2016,LPAE,caterpillar,ep30ca72v,0.0
2004,LPDE,mercedes,db1833lategokofferlbw,0.0
2003,LPES,skoda,octaviacollect,121.28999999999999
2015,LPIE,nissan,pulsar,538.4863636363636
2005,LPLU,mercedes,eclass,111.19714285714285
2012,LPIN,honda,hondaaccord,0.0
2007,LPFI,renault,grandscenic,0.0
2011,LPFI,volvo,xc60,110.23284313725489
1998,LPNL,citroen,jumpy,1118.8283333333334
2008,LPFI,citroen,xsarapicasso,120.65333333333332
2010,LPFI,volkswagen,caddy,295.6751612903226
2000,LPES,renault,38532kerax,0.0
2007,LPFI,audi,a8,0.0
2012,LPIN,ford,fordfigo,0.0
2017,LPIE,seat,ibiza,160.02799999999996
2010,LPES,toyota,prius,692.863679245283
2013,LPFI,volkswagen,caddy,282.1058620689655
2006,LPES,mitsubishi,l200classicdc,0.0
2006,LPBR,generalmotors,corsasedan,0.0
2007,LPLU,citroen,jumper35l3h2,0.0
2012,LPBR,toyota,rav4,0.0
2012,LPIN,volkswagen,vwpassat,0.0
2011,LPFI,audi,q5,162.87800000000004
2004,LPLU,volkswagen,touareg,385.6866666666667
2003,LPLU,mercedes,mclass,0.0
2008,LPAT,toyota,hiaced4d120,0.0
2014,LPIN,renault,renaultkoleos,0.0
2013,LPNO,tesla,models,7494.75
2011,LPBR,bmw,3serie,0.0
2007,LPBR,mitsubishi,outlander,0.0
2002,LPES,nissan,terranoluxury,0.0
2012,LPAT,hyundai,i1011,0.0
2007,LPES,ssangyong,kyronsporprem,0.0
1999,LPNL,renault,tf1jt100019dbest,0.0
2007,LPDE,audi,a5,1120.1909090909091
2005,LPCH,ford,mondeo,1072.8924285714284
2010,LPAT,volkswagen,fahrgestelllr,0.0
2011,LPAT,skoda,superb,820.1314285714286
2007,LPPT,peugeot,partner,820.1384848484847
2005,LPCH,volkswagen,passatcomf,1139.4130555555557
2016,LPPL,kia,ceed,35.92407407407408
2005,LPPT,opel,vivarovc,300.80459016393445
2003,LPCH,citroen,c5exclusiv,0.0
2010,LPTR,renault,symbol,277.0092857142857
2015,LPMX,mazda,6,0.0
2012,LPIE,kia,ceed,220.8842857142857
2005,LPPT,volkswagen,touran,259.209375
2009,LPIE,toyota,urbancruiser,555.4
2002,LPBE,toyota,avensisverso,0.0
2006,LPDE,bmw,5serie,1941.0128440366966
2015,LPES,volvo,xc70,258.74571428571426
2008,LPLU,renault,master35dci,1941.4559999999997
2017,LPTR,audi,a3,1397.6906250000002
2002,LPLU,citroen,jumper35lh,868.27
2014,LPMX,dodge,journey,0.0
2011,LPFI,toyota,iq,214.69
2014,LPSE,slpvagn,westbayslpmedskp,0.0
2000,LPDE,audi,a830tdiquat,0.0
2014,LPAT,ford,focuscmax,937.38
2012,LPAT,citroen,c4aircross,1804.2575
2004,LPLU,mercedes,mclass,387.55
2008,LPBR,mitsubishi,pajerosport,0.0
2015,LPTR,volkswagen,tiguan,641.1725
2012,LPFI,audi,mini,0.0
2014,LPFI,ford,galaxy,113.02
2006,LPES,mercedes,sclass,0.0
2004,LPES,fiat,scudo,698.0
2004,LPPT,mercedes,sprinter413d,336.8525
1998,LPPT,opel,fronterabspor,0.0
2012,LPFI,mercedes,vito,384.20571428571424
2017,LPNL,hyundai,tucson,37.0
2011,LPAT,citroen,c5tourerhdi,832.0622222222223
2004,LPIT,volvoel,s40,194.23999999999998
2011,LPHU,audi,a4,61770.208333333336
2018,LPLU,bmw,5serie,0.0
2006,LPES,citroen,berlingostanda,456.205
2012,LPFI,kia,ceed,430.87
2015,LPLU,opel,astra,317.15600000000006
2011,LPAE,audi,a8,0.0
2015,LPFI,toyota,avensis,147.39444444444445
2011,LPNL,terberg,trekker,0.0
2018,LPNO,volkswagen,transporter,0.0
2010,LPNO,skoda,octavia,6011.055096153846
2005,LPDE,mercedes,bclass,1885.406666666667
2008,LPPT,bmw,5serie,413.1275172413794
2016,LPNO,volkswagen,passat,1578.0961538461538
2007,LPIT,nissanel,nnavaradouble,2293.4728571428573
2013,LPTR,ford,fiesta,537.7706666666667
2015,LPES,renault,master,2784.349252336449
2006,LPBE,peugeot,307,440.4084615384615
2013,LPPT,citroen,jumper,644.47
2016,LPES,citroen,berlingo,1942.7311818181822
2012,LPMX,honda,crv,0.0
2012,LPPL,audi,s8,0.0
2009,LPPT,smart,fortwo,404.05653061224484
2009,LPBE,chrysler,300ctouring,0.0
2010,LPIT,audi,a5,1363.9923357664236
2014,LPCH,bmw,3serie,1441.6217543859652
2015,LPMX,chevrolet,suburban,0.0
2010,LPPT,volvo,v50,760.9690624999998
2014,LPBE,renault,clio,460.0590410958904
2005,LPBE,honda,stream,0.0
2009,LPNO,suzuki,sx4,4582.2
2010,LPCH,ford,smax,965.8933333333334
2012,LPMX,renault,scala,0.0
2009,LPHU,renault,laguna,144850.5325
2016,LPPT,volkswagen,crafter,0.0
2014,LPTR,volkswagen,caravelle,1762.2199999999998
2006,LPDK,opel,vivarovc,2156.0772727272724
2010,LPPT,jaguar,xjseries,171.51
2008,LPHU,lexus,ls,0.0
2004,LPDE,mercedes,313cdisprintekombi,0.0
2006,LPDE,ford,focuscmax16fun,1854.525
2009,LPCH,jaguar,xfluxury,434.325
2000,LPCH,opel,astracomfort,0.0
2011,LPPL,renault,grandscenic,1357.5745454545454
2003,LPDK,fiat,ducato1123jtd,0.0
2010,LPDE,ford,smax,1686.290145985402
2012,LPES,seat,altea,790.3229629629628
2011,LPIT,opel,insignia,1645.3133515283837
2009,LPHU,fiat,doblovc,105766.47166666668
2012,LPNO,iveco,120e25dplast,0.0
2008,LPIE,fiat,500,0.0
2015,LPPT,fiat,punto,204.27863636363637
2007,LPIT,renaultel,scenic,1457.564962121212
2012,LPES,audi,a8,1355.67
2012,LPES,chevrolet,aveo,445.96888888888884
2008,LPNO,ford,focus,9612.894473684206
2012,LPUK,volvo,v60est12,391.2784210526316
2013,LPDE,toyota,auris,0.0
2012,LPES,volkswagen,passatcc,972.9407999999999
2002,LPIT,volkswagenel,passatvariant,946.78
2007,LPPT,audi,a5,452.34399999999994
2009,LPPL,bmw,5serie,821.8363636363637
2000,LPDE,mazda,6sportkombi2comfort,0.0
2017,LPDE,mercedes,vclass,0.0
2012,LPPL,chevrolet,cruze,1715.555
2006,LPNO,volvo,xc70,560.5
2007,LPDE,opel,vectra19cdticosmo,2136.9966666666664
2012,LPHU,volkswagen,passat,57692.288988764056
2004,LPDK,ford,mondeo,0.0
2010,LPES,toyota,aygo,817.9110000000001
2006,LPES,ford,fiestaambiente,375.13
2008,LPES,fiat,doblocommax19,0.0
2007,LPDK,mercedes,vitovan110d,0.0
2015,LPNO,peugeot,308,386.25
2004,LPCH,porsche,cayenne,2187.05
1995,LPDK,scania,p94db230,0.0
2012,LPTR,landrover,discovery,0.0
2018,LPNL,opel,corsa,670.0375
2007,LPCH,landrover,defender,0.0
2015,LPGR,fiat,doblo,296.3333333333333
2012,LPCH,volkswagen,golfgtd,0.0
2008,LPGR,toyota,rav4,671.9714285714285
2000,LPDE,bmw,320dtouringeditionlifesty,0.0
2016,LPCH,volkswagen,golf,482.54333333333335
2015,LPUK,jaguar,xf,189.74
2015,LPDE,kia,carens,2258.438571428572
2005,LPFR,citroen,berlingoiieco,451.44374999999997
2009,LPFR,volkswagen,passat,727.4124009900987
2016,LPBE,mercedes,glcclass,24.49818181818182
2008,LPFR,volkswagen,caravelletouareg,429.7325
2008,LPFR,citroen,nemo,714.0807142857144
2016,LPDE,opel,insignia,694.1908928571428
2014,LPSE,renault,trafic16dci115l1h12014,0.0
2007,LPIT,alfaromeoel,147,1507.701465517241
2009,LPNO,volkswagen,passat19tdi,9245.393
2014,LPUK,audi,q3,129.89974999999998
2005,LPFR,ford,fiestavi,195.3895
2008,LPCZ,mazda,cx7,7148.045
2015,LPBE,peugeot,508,467.09999999999997
2007,LPCZ,landrover,range,0.0
2012,LPSE,ford,galaxy,7581.571428571428
2012,LPFR,peugeot,206,683.9563265306123
2017,LPUK,volkswagen,transporter,6.0
2017,LPLU,audi,mini5doors,0.0
2011,LPBE,saab,09mar,751.136
2009,LPCZ,bmw,x5,0.0
2008,LPDE,volkswagen,passat19tditrendline,2142.693333333333
2008,LPSE,ford,transitconnect18tdci75swb2007,6219.5
2007,LPCZ,opel,astra,5400.246875
2017,LPDK,renault,talisman,2080.165833333333
2010,LPIT,chevrolet,spark,978.8899999999999
2002,LPUK,mazda,e22004dr00,0.0
2003,LPFR,audi,a4iiavanttdi,675.94
2013,LPUK,audi,rs5,0.0
2013,LPFR,volkswagen,tourancfbusi,0.0
2005,LPFR,peugeot,307iiswsport,452.415
2016,LPFR,peugeot,boxervc,1152.3470588235293
2008,LPHU,volvo,v50,100609.25833333335
2007,LPDE,volkswagen,polo14tour,751.93
2012,LPSE,fiat,doblocargo16multijet90dpfssmtal1ele,0.0
2014,LPNO,hyundai,i40,7417.0
2005,LPDK,ford,transit,0.0
2009,LPCZ,volvo,xc70,2622.81
2008,LPFR,citroen,c3leaderpack,493.99047619047616
2005,LPNO,mercedes,vito,25619.319999999996
2002,LPCH,peugeot,307xs,886.95
2007,LPDE,volkswagen,golf19tditrendline,1897.69
2006,LPNO,citroen,c5,8198.22
2018,LPBE,audi,a6,0.0
2009,LPNO,mitsubishi,grandis,15106.95
2008,LPDE,bmw,520dauteditionsport,0.0
2012,LPDE,peugeot,208,668.8
2013,LPDK,volvo,v60,8233.024545454544
2016,LPDK,volvo,xc60,787.1066666666667
2015,LPDE,audi,sq5,0.0
2008,LPCZ,mercedes,viano,0.0
2010,LPDK,peugeot,boxer,0.0
2006,LPDK,ford,galaxy,6593.535
2009,LPUK,audi,q75dr09,0.0
2017,LPSE,volvo,s60crosscountd4190businessadvancedsummum,0.0
2010,LPUK,porsche,boxster2dr11,0.0
2008,LPUK,volkswagen,passat4dr095,0.0
2017,LPDE,peugeot,308,0.0
2009,LPFR,peugeot,5008,890.8700000000001
2006,LPFR,nissan,murano,1123.415
2011,LPUK,audi,ctrymncpsd11,129.7157142857143
2008,LPUK,volkswagen,touareg09,0.0
2008,LPUK,bmw,320dest08,224.27800000000002
2015,LPUK,audi,hat3drone15,0.0
2001,LPFR,renault,clioivrxe14,716.115
2003,LPBE,mazda,premacy,127.41
2006,LPFR,renault,espacev19,890.6216000000001
2005,LPNO,opel,vivarokombi,7347.0
2010,LPHU,opel,astrai,0.0
2013,LPBE,citroen,ds5,531.5211538461539
2009,LPUK,citroen,c4picasso08,95.42
2009,LPSE,renault,master25dci120hkfapl2h22008,3743.6666666666665
2008,LPSE,ford,transit300s22110swbtrend2008,7723.5
2013,LPIT,landrover,defender,4363.13
2003,LPCZ,volkswagen,transporter,4046.0
3911,LPDK,mercedes,sprintervc,7697.37
2016,LPIT,ford,edge,11133.02
2011,LPSE,volkswagen,caddy20tdi140hkdsgmaxicomfortline,5280.0
2009,LPFR,opel,merivacosmo,642.226
2007,LPFR,mercedes,eclasse220,195.43
2006,LPFR,renault,espaceauth19,1646.56
2007,LPFR,citroen,jumper35l2h2,427.04
2007,LPIT,renaultel,laguna20dci,1824.355
2010,LPSE,volkswagen,golf16multifuelmasters3d2010,4446.0
2010,LPSE,toyota,verso18vvtibusiness2010,6941.0
2011,LPSE,nissan,qashqai15dcidpftekna4x22010,0.0
2008,LPNL,jaguar,stype,97.85
2007,LPNL,honda,frv,1054.3415384615384
2004,LPNL,opel,zafiravan,929.7524999999999
2012,LPNL,fiat,scudo,1926.2442857142855
2012,LPAT,bmw,530dasport,1494.0
2011,LPNL,alfaromeo,159,1858.89125
2013,LPNL,fiat,doblo,1016.7231428571428
2011,LPAT,mazda,5cd116te,78.6
2008,LPAT,seat,leon20tdi,2077.24
2008,LPNL,brandstofcontract,diesel,1632.3472222222222
1997,LPNL,toyota,carina,1759.04
2012,LPNL,skoda,roomster,884.8
2010,LPNL,alfaromeo,brera,721.33
2011,LPAT,ford,cmax20tdci,634.2333333333333
2009,LPAT,mercedes,viano30cdi,6360.9
2011,LPAT,volkswagen,transvantrendl,997.0
2006,LPES,fiat,gpuntodynamiq,513.49
2006,LPES,lexus,rx350,3670.7016666666664
2011,LPNL,mercedes,slkclass,1465.25
2006,LPIE,ford,ranger,341.4
2013,LPAE,ford,flex,0.0
2007,LPES,peugeot,206sw,654.66
2013,LPAE,volkswagen,ccse,927.0
2016,LPAE,nissan,patrollecity,191.75
2012,LPPT,peugeot,boxer,578.3325
2015,LPAE,toyota,yariss,1012.5833333333334
2012,LPAT,audi,a8,1564.94
2004,LPHU,landrover,freelander,15000.0
2012,LPPT,mazda,cx5,121.95
2008,LPDE,mercedes,r500l4matic,3951.9750000000004
2016,LPES,porsche,macan,806.0899999999999
2009,LPBE,jeep,wranglerhard,1257.72
2014,LPAE,mitsubishi,canter,1611.0
2012,LPGR,mercedes,mclass,293.0
2015,LPES,mazda,cx9,637.68
2006,LPPL,opel,meriva,3624.24
2017,LPPL,seat,ibiza,279.37166666666667
2015,LPIT,porsche,panamera,442.4
2012,LPAE,ford,fusion,0.0
2005,LPPL,citroen,berlingo19d,6383.142142857142
2009,LPPT,hyundai,tucson,942.115
2009,LPCH,rover,rangeroverhse,2015.1
2004,LPDE,mercedes,e240telegance,6682.09
2007,LPDE,mercedes,c200cdiautomclassicdpf,1795.1433333333334
2011,LPGR,fiat,qubo,644.0
2010,LPSK,fiat,panda,527.74
2008,LPCH,opel,signumdiamond,496.65
2012,LPSK,renault,grandscenic,715.2866666666667
2013,LPFR,lexus,ct,934.1360000000001
2013,LPUK,citroen,relayvc,873.0619999999999
2012,LPIT,subaru,legacy,1402.8899999999999
2009,LPIT,jaguar,xf,1838.726
2016,LPSE,volvo,xc9020d44wdinscriptionauto,19340.0
2016,LPSK,kia,sportage,29.36
2013,LPBE,landrover,range,1219.6
2008,LPFR,seat,leon2granvia,0.0
2013,LPBE,bmw,4serie,1559.625
2009,LPRO,opel,antara,118.94
2004,LPDE,mercedes,c200cdiclassic,3279.84
2009,LPGR,citroen,c4,765.0
2011,LPIT,alfaromeo,brera,903.8
2006,LPSK,kia,magentis,412.375
2007,LPDE,peugeot,407swhdi170sport,1586.3249999999998
2013,LPPL,bmw,1serie,671.85
2008,LPIT,chrysler,300,1344.545
2012,LPCH,jeep,cherokeeglim,2042.5266666666669
2011,LPPL,volkswagen,multivan,3747.7700000000004
2015,LPSK,hyundai,ix20,8.24
2009,LPBE,opel,astravan,655.3199999999999
2012,LPPL,nissan,juke,2506.09
2009,LPGR,toyota,corolla,613.2
2011,LPPL,fiat,scudo,6107.455
2009,LPBE,alfaromeo,147,1328.315
2004,LPIE,mercedes,vito,817.6
2000,LPDE,seat,leon16stylance,752.87
2006,LPDE,mercedes,clkcoupe320cavantgardedpf,2689.36
2012,LPCH,volvo,s80t5summum,1681.39
2009,LPIT,bmw,series3roche,1446.29
2011,LPDE,peugeot,508swhdifapactive,1702.4566666666667
2003,LPSE,renault,masterdci25ll3h22002,4106.0
2012,LPPL,kia,soul,0.0
2016,LPGR,peugeot,108,372.0
2006,LPFR,renault,traficiipriv,284.5
2011,LPIT,saab,09may,958.4
2010,LPGR,lancia,delta,238.0
2008,LPDE,bmw,330itouringau,578.14
2012,LPUK,bmw,123dcon12,0.0
2006,LPFR,volvo,s60sport,497.6
2003,LPFR,renault,kangooiiexpr,1196.4
2013,LPUK,bmw,318d4dn125,170.0
2008,LPFR,toyota,auris5pclean,1884.71
2011,LPUK,nissan,pixo,401.73
2015,LPFR,seat,alhambra,1134.4383333333335
2012,LPDE,hyundai,i30,1682.025
2005,LPFR,audi,a4iii32fsi,966.3433333333332
2013,LPFR,dacia,dustergarmin,2753.61
2011,LPUK,mercedes,s3504dr11,274.84
2003,LPFR,saab,93iiiarc,377.34999999999997
2018,LPUK,audi,hat5dcpr1625,0.0
2007,LPSE,audi,a630tdiquattrotiptronicavant20,10917.0
2011,LPFR,toyota,avensis,1070.6233333333332
2007,LPSE,volkswagen,touran20tdi170hkdsgdpfcrosstouran,1800.0
2011,LPFR,audi,minicountryman,676.44
2005,LPFR,peugeot,807confortfap,800.3966666666666
2007,LPSE,audi,a420tdi170hkdpfquattroavant2,10238.875
2006,LPSE,ford,mondeo20titanium2006,6892.5
2003,LPFR,volkswagen,golfiv16,681.68
2008,LPFR,volkswagen,golfswentrepr,165.05
2013,LPFR,citroen,ds3cabriovti,1085.0
2005,LPFR,ford,transit330m,1173.6100000000001
2009,LPDE,volkswagen,polo19tdidpsportline,1259.54
2008,LPUK,ford,mondeoest055,914.0
2009,LPFR,volkswagen,transportercbi,3093.47
2012,LPDE,mazda,216mzcdcenterline,1621.825
2012,LPFR,peugeot,3008busineste,797.98
2008,LPFR,dodge,avengersxt,1425.67
2018,LPUK,audi,hat3drcpr18,0.0
2010,LPSE,volkswagen,golftdibluemotiontech4mmastersvari,8152.5
2009,LPDE,mercedes,viano30cdieambientedpf,1886.05
2007,LPSE,honda,crv22ctdielegancebusinessplusma,1042.0
2008,LPSE,bmw,series1118d5dsportstourer2009,11827.0
2008,LPSE,ford,focus18flexifueltitanium2007,3497.0
2017,LPIT,fiat,124,2315.45
2009,LPFR,renault,twingogt,404.06
2009,LPFR,landrover,rangeroverspt,200.0
2003,LPFR,suzuki,vitaraii20,303.34
2009,LPDE,ford,focuscoupecabblackmagic,2060.38
2009,LPSE,alfaromeo,15919jtdm16vsportwagonbusiness2,9524.0
2008,LPFR,citroen,c5hdi173fp,281.65
2008,LPFR,nissan,pathfinderle,597.41
2007,LPFR,skoda,octavia19tdi,567.92
2011,LPUK,audi,s33dr12,294.01
2008,LPIT,opel,movano,1745.48
2011,LPTR,volkswagenpolo16tdi90hpcomfortlinedsg2011,volkswagenpolo16tdi90hpcomfortlinedsg2011,0.0
